yourlist:M2022030892C7BAECDB1C5C413EE0E0348724B682456919U	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P14151	P14151	LYAM1_HUMAN	reviewed	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SELL LNHR LYAM1	Homo sapiens (Human)	372
P0A8T7	P0A8T7	RPOC_ECOLI	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	Escherichia coli (strain K12)	1407
Q7Z494	Q7Z494	NPHP3_HUMAN	reviewed	Nephrocystin-3	NPHP3 KIAA2000	Homo sapiens (Human)	1330
Q15022	Q15022	SUZ12_HUMAN	reviewed	Polycomb protein SUZ12 (Chromatin precipitated E2F target 9 protein) (ChET 9 protein) (Joined to JAZF1 protein) (Suppressor of zeste 12 protein homolog)	SUZ12 CHET9 JJAZ1 KIAA0160	Homo sapiens (Human)	739
P41920	P41920	YRB1_YEAST	reviewed	Ran-specific GTPase-activating protein 1 (Chromosome stability protein 20) (Perinuclear array-localized protein) (Ran-binding protein 1) (RANBP1)	YRB1 CST20 HTN1 SFO1 YDR002W YD8119.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	201
P0ACB2	P0ACB2	HEM2_ECOLI	reviewed	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361	Escherichia coli (strain K12)	324
Q9Y624	Q9Y624	JAM1_HUMAN	reviewed	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	F11R JAM1 JCAM UNQ264/PRO301	Homo sapiens (Human)	299
Q6DHI5	Q6DHI5	SIR5_DANRE	reviewed	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)	sirt5 si:ch211-121a2.1	Danio rerio (Zebrafish) (Brachydanio rerio)	305
Q62245	Q62245	SOS1_MOUSE	reviewed	Son of sevenless homolog 1 (SOS-1) (mSOS-1)	Sos1	Mus musculus (Mouse)	1319
P19212	P19212	NIT2_NEUCR	reviewed	Nitrogen catabolic enzyme regulatory protein (Nitrogen regulatory protein 2) (NIT2)	nit-2 amr pink NCU09068	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1036
P27001	P27001	SYFA_THETH	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS	Thermus thermophilus	350
P9WPY3,P0A4Z2	P9WPY3	AROK_MYCTU	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK Rv2539c MTCY159.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	176
P0A4Z2	P9WPY2	AROK_MYCTO	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK MT2614	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	176
E3ULB4	E3ULB4	E3ULB4_PSEAI	unreviewed	Neutral metalloproteinase (EC 3.4.24.-) (Fragment)		Pseudomonas aeruginosa	475
P63249	P63249	IPKA_RAT	reviewed	cAMP-dependent protein kinase inhibitor alpha (PKI-alpha) (cAMP-dependent protein kinase inhibitor, muscle/brain isoform)	Pkia	Rattus norvegicus (Rat)	76
P46527	P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	Homo sapiens (Human)	198
Q9NQR1	Q9NQR1	KMT5A_HUMAN	reviewed	N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8)	KMT5A PRSET7 SET07 SET8 SETD8	Homo sapiens (Human)	393
P22455	P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
Q04656	Q04656	ATP7A_HUMAN	reviewed	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
P43092	C4YNQ5	CARP3_CANAW	reviewed	Candidapepsin-3 (EC 3.4.23.24) (ACP 3) (Aspartate protease 3) (Secreted aspartic protease 3)	SAP3 CAWG_02837	Candida albicans (strain WO-1) (Yeast)	398
P43092	P0CY28	CARP3_CANAX	reviewed	Candidapepsin-3 (EC 3.4.23.24) (ACP 3) (Aspartate protease 3) (Secreted aspartic protease 3)	SAP3	Candida albicans (Yeast)	398
P28511	P28511	HIR3C_HIRME	reviewed	Hirudin-3B' (Hirudin IIIB')		Hirudo medicinalis (Medicinal leech)	65
Q7M4E5	Q7M4E5	Q7M4E5_TRINI	unreviewed	Juvenile hormone esterase-related protein		Trichoplusia ni (Cabbage looper)	547
Q393A1	Q393A1	Q393A1_BURL3	unreviewed	Amidohydrolase	Bcep18194_B2354	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	420
Q15274	Q15274	NADC_HUMAN	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase) (QPRTase)	QPRT	Homo sapiens (Human)	297
P15309	P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACP3 ACPP	Homo sapiens (Human)	386
Q9NUW8	Q9NUW8	TYDP1_HUMAN	reviewed	Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-)	TDP1	Homo sapiens (Human)	608
Q0P844	Q0P844	Q0P844_CAMJE	unreviewed	Putative peptide ABC-transport system periplasmic peptide-binding protein	Cj1584c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	511
P32776	P32776	TFB1_YEAST	reviewed	General transcription and DNA repair factor IIH subunit TFB1 (TFIIH subunit TFB1) (RNA polymerase II transcription factor B 73 kDa subunit) (RNA polymerase II transcription factor B p73 subunit) (RNA polymerase II transcription factor B subunit 1)	TFB1 YDR311W D9740.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642
Q9BUL8	Q9BUL8	PDC10_HUMAN	reviewed	Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15)	PDCD10 CCM3 TFAR15	Homo sapiens (Human)	212
P01042	P01042	KNG1_HUMAN	reviewed	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1 BDK KNG	Homo sapiens (Human)	644
D9IEF7	D9IEF7	D9IEF7_BPT4	unreviewed	Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)	e T4Tp126	Enterobacteria phage T4 (Bacteriophage T4)	164
A0A0H3JWU6	A0A0H3JWU6	A0A0H3JWU6_STAAM	unreviewed	Similar to ferric hydroxamate receptor 1	SAV2284	Staphylococcus aureus (strain Mu50 / ATCC 700699)	302
Q04002	Q04002	SCC2_YEAST	reviewed	Sister chromatid cohesion protein 2	SCC2 YDR180W YD9395.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1493
R4WL38	R4WL38	R4WL38_9HIV1	unreviewed	Polyprotein (Fragment)	pol	Human immunodeficiency virus 1	339
O95631	O95631	NET1_HUMAN	reviewed	Netrin-1 (Epididymis tissue protein Li 131P)	NTN1 NTN1L	Homo sapiens (Human)	604
Q8Q3H0	Q8Q3H0	Q8Q3H0_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	99
V5IRU3	V5IRU3	V5IRU3_9INFA	unreviewed	Hemagglutinin HA2	HA	Influenza A virus	169
Q9NSV4	Q9NSV4	DIAP3_HUMAN	reviewed	Protein diaphanous homolog 3 (Diaphanous-related formin-3) (DRF3) (MDia2)	DIAPH3 DIAP3	Homo sapiens (Human)	1193
P35318	P35318	ADML_HUMAN	reviewed	Pro-adrenomedullin [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	ADM AM	Homo sapiens (Human)	185
A0A0H2V7F6	A0A0H2V7F6	A0A0H2V7F6_ECOL6	unreviewed	Hypothetical fimbrial-like protein ydeQ	ydeQ c1931	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	304
P40261	P40261	NNMT_HUMAN	reviewed	Nicotinamide N-methyltransferase (EC 2.1.1.1)	NNMT	Homo sapiens (Human)	264
P02931	P02931	OMPF_ECOLI	reviewed	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	Escherichia coli (strain K12)	362
A9YN63	A9YN63	A9YN63_9INFA	unreviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza A virus (A/swine/Missouri/2124514/2006(H2N3))	469
P0CG47	P0CG47	UBB_HUMAN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Homo sapiens (Human)	229
Q5T6S3	Q5T6S3	PHF19_HUMAN	reviewed	PHD finger protein 19 (Polycomb-like protein 3) (hPCL3)	PHF19 PCL3	Homo sapiens (Human)	580
P00929	P00929	TRPA_SALTY	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA STM1727	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	268
P46922	P46922	OPUAC_BACSU	reviewed	Glycine betaine-binding protein OpuAC	opuAC BSU03000	Bacillus subtilis (strain 168)	293
Q8MNY2	Q8MNY2	Q8MNY2_SCHMA	unreviewed	Cathepsin B1 isotype 1	cb1.1	Schistosoma mansoni (Blood fluke)	340
Q5VT56	Q5VT56	Q5VT56_HUMAN		Deleted.			
P04591	P04591	GAG_HV1H2	reviewed	Gag polyprotein (Pr55Gag) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Spacer peptide 2 (SP2) (p1); p6-gag]	gag	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	500
P24385	P24385	CCND1_HUMAN	reviewed	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295
F8W4B7	F8W4B7	F8W4B7_DANRE	unreviewed	Histone deacetylase 6	hdac6	Danio rerio (Zebrafish) (Brachydanio rerio)	1081
Q9BY41	Q9BY41	HDAC8_HUMAN	reviewed	Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-)	HDAC8 HDACL1 CDA07	Homo sapiens (Human)	377
Q38BV6	Q38BV6	Q38BV6_TRYB2	unreviewed	Phosphopyruvate hydratase (EC 4.2.1.11)	Tb10.70.4740	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	429
Q93LQ9	Q93LQ9	Q93LQ9_KLEPN	unreviewed	Beta-lactamase (EC 3.5.2.6)	KPC-2 bla bla_1 bla_3 blaKPC blaKPC-2 kpc2 B5L96_22635 BS595_26700 C3F39_16210 C3F39_28515 C3F39_28975 DN601_28785 DRB11_28855 EAO17_31575 GNE24_27570 GNG14_28365 HV479_27455 IPF_358 KP64477d_00006 KPC_069 p628KPC_020 pCRE79_15 pCT-KPC_129 pFOS18_014 pkp469IL_0095 pkp53il_00095 SAMEA3512100_05115 SAMEA3649758_04780 SAMEA3727679_04711 TUM16641_pIX3-110 UC330_005 UC332_005 UC334_005	Klebsiella pneumoniae	293
Q5EP31	Q5EP31	Q5EP31_9INFA	unreviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (A/Viet Nam/1203/2004(H5N1))	568
P45448	P45448	NR5A2_MOUSE	reviewed	Nuclear receptor subfamily 5 group A member 2 (Liver receptor homolog 1) (LRH-1)	Nr5a2 Lrh1	Mus musculus (Mouse)	560
Q7M3Z9	Q7M3Z9	Q7M3Z9_HEMPU	unreviewed	Histone H3 (Fragment)		Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	20
O95866	O95866	G6B_HUMAN	reviewed	Megakaryocyte and platelet inhibitory receptor G6b (Protein G6b)	MPIG6B C6orf25 G6B G6B-B	Homo sapiens (Human)	241
J3KPF3	J3KPF3	J3KPF3_HUMAN	unreviewed	4F2 cell-surface antigen heavy chain (Solute carrier family 3 (Activators of dibasic and neutral amino acid transport), member 2, isoform CRA_a)	SLC3A2 hCG_2016598	Homo sapiens (Human)	631
Q9YFY3	Q9YFY3	SYTE_AERPE	reviewed	Threonine--tRNA ligase editing subunit (Ser-tRNA(Thr) hydrolase) (Threonyl-tRNA synthetase 2) (ThrRS 2) (Threonyl-tRNA synthetase editing subunit) (ThrS-ed)	thrS2 APE_0117.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	421
P00558	P00558	PGK1_HUMAN	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417
P06730	P06730	IF4E_HUMAN	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)	217
P28482	P28482	MK01_HUMAN	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360
P01909	P01909	DQA1_HUMAN	reviewed	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)	HLA-DQA1	Homo sapiens (Human)	254
P61925	P61925	IPKA_HUMAN	reviewed	cAMP-dependent protein kinase inhibitor alpha (PKI-alpha) (cAMP-dependent protein kinase inhibitor, muscle/brain isoform)	PKIA PRKACN1	Homo sapiens (Human)	76
Q24008	Q24008	INAD_DROME	reviewed	Inactivation-no-after-potential D protein	inaD CG3504	Drosophila melanogaster (Fruit fly)	674
G9HS63	G9HS63	G9HS63_9HIV1	unreviewed	Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120 (SU) (Glycoprotein 120) (gp120); Transmembrane protein gp41 (TM) (Glycoprotein 41) (gp41)]	env	Human immunodeficiency virus 1	887
Q9NYL2	Q9NYL2	M3K20_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	MAP3K20 MLTK ZAK HCCS4	Homo sapiens (Human)	800
P50213	P50213	IDH3A_HUMAN	reviewed	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	IDH3A	Homo sapiens (Human)	366
Q6IAT6,P09960	P09960	LKHA4_HUMAN	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)	LTA4H LTA4	Homo sapiens (Human)	611
Q10471	Q10471	GALT2_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	GALNT2	Homo sapiens (Human)	571
P17109	P17109	MEND_ECOLI	reviewed	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD b2264 JW5374	Escherichia coli (strain K12)	556
O75385	O75385	ULK1_HUMAN	reviewed	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722	Homo sapiens (Human)	1050
P00940	P00940	TPIS_CHICK	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1	Gallus gallus (Chicken)	248
O43752	O43752	STX6_HUMAN	reviewed	Syntaxin-6	STX6	Homo sapiens (Human)	255
P51671	P51671	CCL11_HUMAN	reviewed	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)	CCL11 SCYA11	Homo sapiens (Human)	97
D0VX28	D0VX28	D0VX28_CHICK	unreviewed	Cytochrome b-c1 complex subunit 6	UQCRHL	Gallus gallus (Chicken)	77
A5K8X6	A5K8X6	A5K8X6_PLAVS	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	PVX_101260	Plasmodium vivax (strain Salvador I)	302
P25024	P25024	CXCR1_HUMAN	reviewed	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)	350
A0A087WNH6	A0A087WNH6	SAHH_BRAEL	reviewed	Adenosylhomocysteinase (EC 3.3.1.1) (BeSAHase) (S-adenosyl-L-homocysteine hydrolase) (SAHase)	ahcY	Bradyrhizobium elkanii	473
Q6DRA1	Q6DRA1	Q6DRA1_ACIBA	unreviewed	Beta-lactamase (EC 3.5.2.6)		Acinetobacter baumannii	383
Q6NZY1	Q6NZY1	Q6NZY1_HUMAN	unreviewed	TPSB2 protein	TPSB2	Homo sapiens (Human)	282
Q16769	Q16769	QPCT_HUMAN	reviewed	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC)	QPCT	Homo sapiens (Human)	361
O13833	O13833	CID1_SCHPO	reviewed	Terminal uridylyltransferase cid1 (TUTase cid1) (EC 2.7.7.19) (EC 2.7.7.52) (Caffeine-induced death protein 1) (Poly(A) polymerase cid1) (PAP) (Poly(U) polymerase cid1) (PUP)	cid1 SPAC19D5.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	405
Q6HT60	Q6HT60	Q6HT60_BACAN		Deleted.			
P62964	P62964	RABP1_BOVIN	reviewed	Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I)	CRABP1	Bos taurus (Bovine)	137
P52699	P52699	BLAB_SERMA	reviewed	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (BLA-IMP) (IMP-1) (Beta-lactamase type II) (Metallo-beta-lactamase type II)		Serratia marcescens	246
A0A0R4I985	A0A0R4I985	A0A0R4I985_PHACH	unreviewed	PcUre2p8		Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	223
C1F2K5	C1F2K5	C1F2K5_ACIC5	unreviewed	Uncharacterized protein	ACP_2665	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	475
P02911	P02911	ARGT_SALTY	reviewed	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)	argT STM2355	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	260
Q8AAK6	Q8AAK6	Q8AAK6_BACTN	unreviewed	Beta-mannosidase	BT_0458	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	864
Q15554	Q15554	TERF2_HUMAN	reviewed	Telomeric repeat-binding factor 2 (TTAGGG repeat-binding factor 2) (Telomeric DNA-binding protein)	TERF2 TRBF2 TRF2	Homo sapiens (Human)	542
P77526	P77526	YFCG_ECOLI	reviewed	Disulfide-bond oxidoreductase YfcG (EC 1.8.4.-) (GSH-dependent disulfide-bond oxidoreductase YfcG) (GST N1-1) (GST-like protein YfcG) (Organic hydroperoxidase) (EC 1.11.1.-)	yfcG b2302 JW2299	Escherichia coli (strain K12)	215
P08709	P08709	FA7_HUMAN	reviewed	Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]	F7	Homo sapiens (Human)	466
P29736	P29736	MYRA_SINAL	reviewed	Myrosinase MA1 (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase)		Sinapis alba (White mustard) (Brassica hirta)	501
P0A544	P9WNX2	SERA_MYCTO	reviewed	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	serA MT3074	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	528
P01106	P01106	MYC_HUMAN	reviewed	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439
P29312,P63104	P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
Q9XZT6	Q9XZT6	DNK_DROME	reviewed	Deoxynucleoside kinase (EC 2.7.1.145) (Deoxyribonucleoside kinase) (Dm-dNK) (Multispecific deoxynucleoside kinase)	dnk CG5452	Drosophila melanogaster (Fruit fly)	250
P01017	P01017	ANGT_BOVIN	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	Bos taurus (Bovine)	476
O04197	O04197	COI1_ARATH	reviewed	Coronatine-insensitive protein 1 (COI-1) (F-box/LRR-repeat protein 2) (AtCOI1) (AtFBL2)	COI1 FBL2 At2g39940 T28M21.10	Arabidopsis thaliana (Mouse-ear cress)	592
P52286	P52286	SKP1_YEAST	reviewed	Suppressor of kinetochore protein 1 (Centromere DNA-binding protein complex CBF3 subunit D) (E3 ubiquitin ligase complex SCF subunit SKP1)	SKP1 CBF3D YDR328C D9798.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194
Q8WLS4	Q8WLS4	Q8WLS4_HUMAN	unreviewed	MHC class I antigen (Fragment)	HLA-A	Homo sapiens (Human)	317
P30307	P30307	MPIP3_HUMAN	reviewed	M-phase inducer phosphatase 3 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25C)	CDC25C	Homo sapiens (Human)	473
P35197	P35197	GCS1_YEAST	reviewed	ADP-ribosylation factor GTPase-activating protein GCS1 (ARF GAP GCS1)	GCS1 YDL226C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	352
P07271	P07271	PIF1_YEAST	reviewed	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	PIF1 TST1 YML061C YM9958.01C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	859
Q6L8Q7	Q6L8Q7	PDE12_HUMAN	reviewed	2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4)	PDE12	Homo sapiens (Human)	609
P55196	P55196	AFAD_HUMAN	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
Q53EZ4	Q53EZ4	CEP55_HUMAN	reviewed	Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6)	CEP55 C10orf3 URCC6	Homo sapiens (Human)	464
Q8L7C9	Q8L7C9	GSTUK_ARATH	reviewed	Glutathione S-transferase U20 (AtGSTU20) (EC 2.5.1.18) (FIN219-interacting protein 1) (GST class-tau member 20)	GSTU20 FIP1 At1g78370 F3F9.11	Arabidopsis thaliana (Mouse-ear cress)	217
O43639	O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380
Q8IKG4	Q8IKG4	DXR_PLAF7	reviewed	1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplastic (1-deoxyxylulose-5-phosphate reductoisomerase) (DOXP reductoisomerase) (DXP reductoisomerase) (EC 1.1.1.267)	DXR PF14_0641 PF3D7_1467300	Plasmodium falciparum (isolate 3D7)	488
P84233	P84233	H32_XENLA	reviewed	Histone H3.2		Xenopus laevis (African clawed frog)	136
P9WPC3	P9WPC3	CLPP2_MYCTU	reviewed	ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2)	clpP2 Rv2460c MTV008.16c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	214
Q6N089	Q6N089	Q6N089_HUMAN	unreviewed	Uncharacterized protein	DKFZp686P15220	Homo sapiens (Human)	472
