yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
5hva,5hwu	Q9RS96	Q9RS96_DEIRA	unreviewed	Uncharacterized protein	DR_2231	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	148
5kxc	A0A1D5B395	A0A1D5B395_WISFL	unreviewed	Wisteria floribunda agglutinin		Wisteria floribunda (Japanese wisteria) (Glycine floribunda)	243
2py4,5ect,5edd	P9WNS5	DUT_MYCTU	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	dut Rv2697c MTCY05A6.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	154
5ema	Q96PB8	LRC3B_HUMAN	reviewed	Leucine-rich repeat-containing protein 3B (Leucine-rich repeat protein 15)	LRRC3B LRP15 UNQ195/PRO221	Homo sapiens (Human)	259
2kvm,4x3u,4x3s,4x3k,4x3t,5ejw	Q8VDS3	CBX7_MOUSE	reviewed	Chromobox protein homolog 7	Cbx7 D15Ertd417e	Mus musculus (Mouse)	158
5ewk,5ewy	C9Z6T8	C9Z6T8_STRSW	unreviewed	Putative secreted protein	SCAB_27771	Streptomyces scabiei (strain 87.22)	200
4ym2,5duw	P56470	LEG4_HUMAN	reviewed	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	LGALS4	Homo sapiens (Human)	323
4xtm,4xtp	P81371	LECS_VATMA	reviewed	Seed lectin (VML) [Cleaved into: Seed lectin alpha chain; Seed lectin gamma chain; Seed lectin beta chain]		Vatairea macrocarpa	240
2w97,4aza,5ei3	Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
5f90,5f8y	H2FH31	LEC_CREGR	reviewed	Galactose-binding lectin (CGL) (GalNAc/Gal-specific lectin)		Crenomytilus grayanus (Gray mussel) (Mytilus grayanus)	150
5huw	P04295	TRM3_HHV11	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL15	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	735
5ajc	A0A0S4TLR1	A0A0S4TLR1_RALSL	unreviewed	Fucose-binding lectin protein (Putative fucose-binding lectin protein)	E7Z57_08365 HF909_06975 HXP36_18875 RSP795_21825 RSP822_19650 RUN39_v1_50103	Ralstonia solanacearum (Pseudomonas solanacearum)	91
4z0f,4z0e,4z0d	A0A024UZE1	A0A024UZE1_PLAFA	unreviewed	Apical membrane antigen 1 (Merozoite surface antigen)	PFFVO_05649	Plasmodium falciparum Vietnam Oak-Knoll (FVO)	622
4z0f,4z0e,4z0d	Q8IKV6	Q8IKV6_PLAF7	unreviewed	Rhoptry neck protein 2	PF3D7_1452000	Plasmodium falciparum (isolate 3D7)	2189
3cr4,3cr5,3gk4,3gk2,3gk1,3lle,3iqq,3lk1,3lk0,4fqo,5er4,5dkn,5er5,5dkr	P02638	S100B_BOVIN	reviewed	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	Bos taurus (Bovine)	92
5em9,5elq,5ema,5emb	Q8K4V4	SNX27_RAT	reviewed	Sorting nexin-27 (MAP-responsive gene protein) (Methamphetamine-responsive transcript 1 protein) (PDZ-protein Mrt1)	Snx27 Mrt1	Rattus norvegicus (Rat)	539
5emb	Q03431	PTH1R_HUMAN	reviewed	Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)	PTH1R PTHR PTHR1	Homo sapiens (Human)	593
5g1n,5g1p	P27708	PYR1_HUMAN	reviewed	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD	Homo sapiens (Human)	2225
5etx,5epn,5epy,5eqq	C1KIK8	C1KIK8_9HEPC	unreviewed	Genome polyprotein (Fragment)		Hepacivirus C	181
4qq4,5svx,5svy,5svi	Q14149	MORC3_HUMAN	reviewed	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	MORC3 KIAA0136 NXP2 ZCWCC3	Homo sapiens (Human)	939
5cxi,5cw8	P96856	KSTR_MYCTU	reviewed	HTH-type transcriptional repressor KstR	kstR Rv3574	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	220
2nd0	Q9QR71	LANA1_HHV8P	reviewed	Protein LANA1	LANA1 ORF73	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	1129
5epp	Q8TEB9	RHBL4_HUMAN	reviewed	Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (Rhomboid-like protein 4)	RHBDD1 RHBDL4 HSD-50 HSD50	Homo sapiens (Human)	315
5d1n,5bw4	C7Q5P8	C7Q5P8_CATAD	unreviewed	Uncharacterized protein	Caci_9046	Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908)	250
5brz	P43357	MAGA3_HUMAN	reviewed	Melanoma-associated antigen 3 (Antigen MZ2-D) (Cancer/testis antigen 1.3) (CT1.3) (MAGE-3 antigen)	MAGEA3 MAGE3	Homo sapiens (Human)	314
5kva	C5Z4W3	C5Z4W3_SORBI	unreviewed	Uncharacterized protein	SORBI_3010G052200	Sorghum bicolor (Sorghum) (Sorghum vulgare)	261
2mkr,5hda	P12978	EBNA2_EBVB9	reviewed	Epstein-Barr nuclear antigen 2 (EBNA-2) (EBV nuclear antigen 2)	EBNA2 BYRF1	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	487
5hda	Q15326	ZMY11_HUMAN	reviewed	Zinc finger MYND domain-containing protein 11 (Adenovirus 5 E1A-binding protein) (Bone morphogenetic protein receptor-associated molecule 1) (Protein BS69)	ZMYND11 BRAM1 BS69	Homo sapiens (Human)	602
5f74	Q9CQV8	1433B_MOUSE	reviewed	14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	Ywhab	Mus musculus (Mouse)	246
5f74	Q8VIP2	MLXPL_RAT	reviewed	Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein)	Mlxipl Wbscr14	Rattus norvegicus (Rat)	865
2jkt,2jkr,2pr9,3h85,5fpi	P84092	AP2M1_RAT	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)	Ap2m1	Rattus norvegicus (Rat)	435
3v4v,5fpi	P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032
5l9o,5lom	Q7D447	Q7D447_AGRFC	unreviewed	Deoxyfructosyl-amino Acid Transporter Periplasmic Binding Protein	socA Atu5006	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	277
5brz,5bs0	A0A0B4J279	TVA21_HUMAN	reviewed	T cell receptor alpha variable 21	TRAV21	Homo sapiens (Human)	112
5brz,5bs0	A0A578	TVB51_HUMAN	reviewed	T cell receptor beta variable 5-1	TRBV5-1 TCRBV5S1A1T	Homo sapiens (Human)	114
5bs0	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
5e6o	Q23536	LGG2_CAEEL	reviewed	Protein lgg-2	lgg-2 ZK593.6	Caenorhabditis elegans	130
5dnu	A0A0M3PN85	A0A0M3PN85_STRHE	unreviewed	Hyposensitive to light 3		Striga hermonthica (Purple witchweed) (Buchnera hermonthica)	276
5kau,5kcb,5kat	A0A0H3JRN6	A0A0H3JRN6_STAAN	unreviewed	SA2223 protein	SA2223	Staphylococcus aureus (strain N315)	157
3iuc,3ldp,5exw,5evz,5f2r,5ey4,5f1x	P11021	BIP_HUMAN	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Homo sapiens (Human)	654
5h5r,5h5q,5h5s	P36969	GPX4_HUMAN	reviewed	Phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	GPX4	Homo sapiens (Human)	197
5j32	P93832	LEU32_ARATH	reviewed	3-isopropylmalate dehydrogenase 2, chloroplastic (3-IPM-DH 2) (AtIMDH2) (AtIMDH3) (IMDH 2) (EC 1.1.1.85) (Beta-IPM dehydrogenase 2) (Isopropylmalate dehydrogenase 2) (AtIMD2)	IMDH2 IMD2 IMDH IPMDH2 At1g80560 T21F11.11	Arabidopsis thaliana (Mouse-ear cress)	405
5hwv	A5W4E3	TODS_PSEP1	reviewed	Sensor histidine kinase TodS (EC 2.7.13.3)	todS Pput_2872	Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1)	978
1xo2,2f2c,2euf,4ez5,4aua,5l2i,5l2t,5l2s	Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
3zxe,5h9q,5h9s	P47929	LEG7_HUMAN	reviewed	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)	LGALS7 PIG1; LGALS7B	Homo sapiens (Human)	136
3nif,4z7q,4z7n,4z7o	P05106	ITB3_HUMAN	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	ITGB3 GP3A	Homo sapiens (Human)	788
3nif,4z7q,4z7n,4z7o	P08514	ITA2B_HUMAN	reviewed	Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039
5kbf,5k8s,5t3n	Q7KQK0	Q7KQK0_PLAF7	unreviewed	cAMP-dependent protein kinase regulatory subunit (EC 2.7.11.11)	PF3D7_1223100	Plasmodium falciparum (isolate 3D7)	441
5huy	D3YRZ5	D3YRZ5_HCMVO	unreviewed	Tripartite terminase subunit 1	UL56 TRM1	Human cytomegalovirus (strain Toledo) (HHV-5) (Human herpesvirus 5)	850
5duf,5duc,5du8,5dtw,5du4,5du6	P9WNP1	ECHA6_MYCTU	reviewed	Probable enoyl-CoA hydratase echA6 (EC 4.2.1.17)	echA6 Rv0905 MTCY31.33	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	243
5fog,5fol,5fom	B6AA20	B6AA20_CRYMR	unreviewed	Leucyl-tRNA synthetase (EC 6.1.1.4)	CMU_041310	Cryptosporidium muris (strain RN66)	1128
4xoe	A0A140UH97	A0A140UH97_ECOL5	unreviewed	FimG protein	ECP_4654	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	14
4xoc,4xoe	A0A454AB91	A0A454AB91_ECOL5	unreviewed	FimH protein	ECP_4655	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	303
3pfp,3rzi,2ypo,2ypp,5e5g,5e2l	O53512	AROG_MYCTU	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG Rv2178c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	462
4b33,4b32,4b2l,4b34,4b2i,4b35,4b3c,4b3d,4b3b,5fos,5fou,5fov,5fpk,5fox,5fot,5fow	O74036	RADA_PYRFU	reviewed	DNA repair and recombination protein RadA	radA PF1926	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	349
5glu	A0A1L1QJZ7	A0A1L1QJZ7_TOXLN	unreviewed	Galectin		Toxascaris leonina (Parasitic roundworm)	278
5ld8	P9WQD9	KASA_MYCTU	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.293) (Beta-ketoacyl-ACP synthase 1) (KAS 1) (Beta-ketoacyl-acyl carrier protein synthase KasA) (Meromycolic acid 3-oxoacyl-(acyl carrier protein) synthase I)	kasA Rv2245 MTCY427.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	416
2n9e	P61956	SUMO2_HUMAN	reviewed	Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)	SUMO2 SMT3B SMT3H2	Homo sapiens (Human)	95
2n9e	Q96RL1	UIMC1_HUMAN	reviewed	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1)	UIMC1 RAP80 RXRIP110	Homo sapiens (Human)	719
5f67	P19334	TRP_DROME	reviewed	Transient receptor potential protein	trp CG7875	Drosophila melanogaster (Fruit fly)	1275
3r0h,5f67	Q24008	INAD_DROME	reviewed	Inactivation-no-after-potential D protein	inaD CG3504	Drosophila melanogaster (Fruit fly)	674
5im3	Q9I4I1	Q9I4I1_PSEAE	unreviewed	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	nrdA PA1156	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	963
5jeo,5jer	Q99FX5	NSP1_ROTS4	reviewed	Non-structural protein 1 (NSP1) (NCVP2) (Non-structural RNA-binding protein 53) (NS53)		Rotavirus A (strain RVA/SA11-4F/G3P6[1]) (RV-A) (Simian Agent 11 (strain 4F))	496
5jek,5jeo,5jer	Q14653	IRF3_HUMAN	reviewed	Interferon regulatory factor 3 (IRF-3)	IRF3	Homo sapiens (Human)	427
2b7f,4ydg	P03362	POL_HTL1A	reviewed	Gag-Pro-Pol polyprotein (Pr160Gag-Pro-Pol) [Cleaved into: Matrix protein p19 (MA); Capsid protein p24 (CA); Nucleocapsid protein p15-pro (NC') (NC-pro); Protease (PR) (EC 3.4.23.-); p1; Reverse transcriptase/ribonuclease H, p49 subunit (p49 RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Reverse transcriptase/ribonuclease H, p62 subunit (p62 RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pro-pol	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)	1462
4zy2	A0A0L7M119	A0A0L7M119_PLAF4	unreviewed	CYTOSOL_AP domain-containing protein	PFDG_02221	Plasmodium falciparum (isolate Dd2)	606
5cbm,4zy1,4zy0,4zyq,4zx9,4zx8	A0A024V0B1	A0A024V0B1_PLAFA	unreviewed	CYTOSOL_AP domain-containing protein	PFFVO_05086	Plasmodium falciparum Vietnam Oak-Knoll (FVO)	607
1fax,1xka,1fjs,1ezq,1f0s,1f0r,1g2m,1g2l,1ksn,1nfw,1nfy,1nfu,1mq5,1lpz,1lpk,1nfx,1mq6,1lpg,1lqd,1v3x,1wu1,2bok,2fzz,2bq6,2g00,1z6e,2j34,2bmg,2j4i,2boh,2bqw,2j2u,2cji,2bq7,2q1j,2p16,2p95,2p94,2p93,2uwp,2uwo,2j95,2uwl,2j94,2ei6,3ens,2phb,2vh6,2w26,2ra0,3cs7,2vh0,3cen,2w3k,2w3i,3kl6,3k9x,3ffg,2vwn,2vwo,2vvc,3hpt,2vvv,2vvu,2vwm,2vwl,2jkh,3iit,2xbv,3liw,3m36,3kqd,3kqb,3m37,2xbw,2xbx,2xc0,2wyj,3kqc,2wyg,3kqe,2xc4,3q3k,2y7x,2y5g,2y5h,2y5f,2y81,2y7z,3sw2,2y82,2y80,4a7i,4bti,4btu,4btt,4y79,5k0h	P00742	FA10_HUMAN	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Homo sapiens (Human)	488
2hmb,1hmr,1hms,1hmt,4tkj,4tjz,4tkh,3wvm,4tkb,5hz9	P05413	FABPH_HUMAN	reviewed	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI) (Muscle fatty acid-binding protein) (M-FABP)	FABP3 FABP11 MDGI	Homo sapiens (Human)	133
5ew0	Q9RMI1	Q9RMI1_SERFO	unreviewed	Beta-lactamase (EC 3.5.2.6)	sfhI	Serratia fonticola	234
4h4b,5cr7	P49902	5NTC_HUMAN	reviewed	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic 5'-nucleotidase II) (cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77) (High Km 5'-nucleotidase)	NT5C2 NT5B NT5CP PNT5	Homo sapiens (Human)	561
4zj8,4zjc	O43613	OX1R_HUMAN	reviewed	Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R)	HCRTR1	Homo sapiens (Human)	425
4iu0,4iu4,4iu1,5hja,5hj9	Q6TUJ5	Q6TUJ5_LEIME	unreviewed	Arginase (EC 3.5.3.1)	ARG	Leishmania mexicana	329
5d2r	B5ZAD9	B5ZAD9_HELPG	unreviewed	Conserved hypothetical secreted protein	HPG27_353	Helicobacter pylori (strain G27)	438
5k13	P10276	RARA_HUMAN	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	RARA NR1B1	Homo sapiens (Human)	462
2xow,3zeb,3zmi,3zot,3zmj,3zmh,5f5b	P09391	GLPG_ECOLI	reviewed	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)	glpG b3424 JW5687	Escherichia coli (strain K12)	276
5f1u,5f1v	Q9PPB4	DAPA_CAMJE	reviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA Cj0806	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	298
5foo	Q99YP9	Q99YP9_STRP1	unreviewed	Putative beta-glucosidase	SPy_1599	Streptococcus pyogenes serotype M1	480
1pbk,5d75	Q00688	FKBP3_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)	FKBP3 FKBP25	Homo sapiens (Human)	224
5elw,5el9	O23346	HIS5B_ARATH	reviewed	Imidazoleglycerol-phosphate dehydratase 2, chloroplastic (IGPD 2) (EC 4.2.1.19) (Protein HISTIDINE BIOSYNTHESIS 5B)	HISN5B At4g14910 dl3495c	Arabidopsis thaliana (Mouse-ear cress)	272
1xxe,2go4,2o3z,3p76,5dro	O67648	LPXC_AQUAE	reviewed	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC envA aq_1772	Aquifex aeolicus (strain VF5)	282
5sym	O75608	LYPA1_HUMAN	reviewed	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	LYPLA1 APT1 LPL1	Homo sapiens (Human)	230
5ij7	G1KPH4	G1KPH4_ANOCA	unreviewed	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	ezh2	Anolis carolinensis (Green anole) (American chameleon)	773
5kr1,5kr2	V5YAB1	V5YAB1_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	109
5kqy,5kr0,5kqx	C8BD48	C8BD48_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
5cdh	Q9APF7	Q9APF7_LEGPN	unreviewed	Histidine-type phosphatase (Major acid phosphatase)	map DIZ50_01090	Legionella pneumophila	352
5cnj,4xas,4xaq,5kzq	Q14416	GRM2_HUMAN	reviewed	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872
5j4n	P60061	ADIC_ECOLI	reviewed	Arginine/agmatine antiporter	adiC aniC yjdD yjdE b4115 JW4076	Escherichia coli (strain K12)	445
5kdr	Q2FXM6	ACCD_STAA8	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SAOUHSC_01809	Staphylococcus aureus (strain NCTC 8325 / PS 47)	285
5kdr	Q2FXM7	ACCA_STAA8	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SAOUHSC_01808	Staphylococcus aureus (strain NCTC 8325 / PS 47)	314
1jak,1hp5,5fcz	O85361	O85361_STRPL	unreviewed	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	hex	Streptomyces plicatus	506
1v2h,1v41,1pf7,1pwy,1rr6,1rt9,2oc9,2on6,2oc4,2q7o,3bgs,3d1v,3k8q,3k8o,3iny,4ear,4eb8,5etj	P00491	PNPH_HUMAN	reviewed	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	Homo sapiens (Human)	289
2ydt,5m1z	B8ZY56	B8ZY56_GIBZA	unreviewed	Exo-1,5-alpha-L-arabinofuranobiosidase (EC 3.2.1.55) (Fragment)	arb93a	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	365
5kyj,5i4v,5kya	P28702	RXRB_HUMAN	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	RXRB NR2B2	Homo sapiens (Human)	533
2i2c,2i2b,4dy6,5dhu,5dhp,5dht,5dhr,5dhq,5dhs	Q8Y8D7	NADK1_LISMO	reviewed	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK1 lmo0968	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	264
4ydf	Q82134	Q82134_9DELA	unreviewed	Protease (Fragment)	prt	Human T-cell leukemia virus type I	125
5jf2,5jf8,5jf3,5jf6,5jf5,5jf1,5jf4,5jf7	Q8E378	DEF_STRA3	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def gbs1883	Streptococcus agalactiae serotype III (strain NEM316)	204
1njs,4ew3,4ew2,4zz3,4zz1,4zz2,4zyu,4zyt,4zyv,5j9f,4zyz,4zyw,4zyx,4zz0,4zyy	P22102	PUR2_HUMAN	reviewed	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART PGFT PRGS	Homo sapiens (Human)	1010
5ls6	Q92833	JARD2_HUMAN	reviewed	Protein Jumonji (Jumonji/ARID domain-containing protein 2)	JARID2 JMJ	Homo sapiens (Human)	1246
6bfa	A0A0F7UUA6	A0A0F7UUA6_TOXGV	unreviewed	CAM kinase, CDPK family TgCDPK1	BN1205_042030	Toxoplasma gondii (strain ATCC 50861 / VEG)	507
5v1b	Q96KS0	EGLN2_HUMAN	reviewed	Prolyl hydroxylase EGLN2 (EC 1.14.11.-) (Egl nine homolog 2) (EC 1.14.11.29) (Estrogen-induced tag 6) (EIT-6) (HPH-3) (Hypoxia-inducible factor prolyl hydroxylase 1) (HIF-PH1) (HIF-prolyl hydroxylase 1) (HPH-1) (Prolyl hydroxylase domain-containing protein 1) (PHD1)	EGLN2 EIT6	Homo sapiens (Human)	407
3pvu,3pvw,5he2,5he0,5he3,5ukm	P21146	ARBK1_BOVIN	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein-coupled receptor kinase 2)	GRK2 ADRBK1	Bos taurus (Bovine)	689
3ktr,3pkn,5lgr,5lgs,5lgq,5lgp	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP PABP1 PABPC2	Homo sapiens (Human)	636
5jog,5joh,5m5q	Q92905	CSN5_HUMAN	reviewed	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)	COPS5 CSN5 JAB1	Homo sapiens (Human)	334
2vle,3sz9,4kwg,4kwf,5l13	P05091	ALDH2_HUMAN	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	ALDH2 ALDM	Homo sapiens (Human)	517
5y3n,5y3o	Q12931	TRAP1_HUMAN	reviewed	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75	Homo sapiens (Human)	704
5g0q	C1F2K5	C1F2K5_ACIC5	unreviewed	Uncharacterized protein	ACP_2665	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	475
5v84	Q9BXF3	CECR2_HUMAN	reviewed	Cat eye syndrome critical region protein 2	CECR2 KIAA1740	Homo sapiens (Human)	1484
